Draw_27,Xóa,Xóa text đã nhập ,,,"1. HS chọn text.
2. Nhấn Delete / Clear.",,1. Text bị xóa khỏi whiteboard.,Passed,Passed,No run,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_28,Thực hiện vẽ khi thoát ra vào lại ,Kiểm tra hiển thị trên nhiều thiết bị  khi HS thoát ra vào lại,,,1. Quan sát text trên các thiết bị HS khác.,,"1. Text hiển thị đồng nhất.
2. Không lệch vị trí / font.",Failed,No run,No run,,,,,,,,,02/02/2026,,,,,
Draw_29,,Kiểm tra hiển thị nét vẽ khi thoát ra vào lại ,,,"1. HS thực hiện vẽ 
2. HS thoát ra vào lại ",,2. HS thoát ra vào lại vẫn còn giữ nguyên nét vẽ ,Failed,No run,No run,,,,,,,,,02/02/2026,,,,,
1.4. Kiểm tra chức năng 2. Pen Tool                                                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,
Draw_30,UI – Hiển thị & trạng thái mặc định,Kiểm tra hiển thị mặc định Pen Tool,,HS đang ở Whiteboard,1. HS click Pen Tool.,,"Hiển thị Pen Tool Options Panel gồm:
1. Mũi tên 1 chiều, 2 chiều, đoạn thẳng
2. Rectangle, Circle (Outline / Filled / Solid Filled)
3. Freehand Pen",Passed,Passed,,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_31,Đóng Pen Tool Options Panel,Kiểm tra Tắt Options Panel khi click lại Pen Tool,,,1. Click Pen Tool lần nữa.,,Pen Tool Options Panel được đóng,Passed,Passed,,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_32,,Check Tắt Options Panel khi click ra ngoài canvas,,,1. Click ra ngoài khu vực vẽ.,,Pen Tool Options Panel được đóng.,N/A,N/A,,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_33,,Check Tắt Options Panel khi click công cụ khác trong Drawing Toolbar,,,1. Click Text / Shape / Eraser…,,Pen Tool Options Panel được đóng.,Passed,Passed,,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_34,,Check Tắt Options Panel khi click các nút cố định,,,1. Click Board / Raise Hand / Tools / Settings / Mic / Cam / Participants / Chat,,Pen Tool Options Panel được đóng.,N/A,N/A,,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_35,Vẽ bằng các công cụ Pen Tool,Check Vẽ mũi tên 1 chiều / 2 chiều,,Pen Tool đang Active,"1. Chọn Arrow 1 chiều / 2 chiều
2. Click & kéo chuột",,"1. Nét vẽ đúng vị trí, đúng hình dạng
2. Màu & độ dày đúng thiết lập
3. Vẽ mượt, không trễ
4. Các nét độc lập",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_36,,Check Vẽ đoạn thẳng,,,"1. Chọn Line
2. Click & kéo",,"Nét vẽ đúng vị trí, không méo, không trễ",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_37,,Check Vẽ Rectangle (Outline / Filled / Solid Filled),,,"1. Chọn Rectangle
2. Chọn kiểu hiển thị
3. Click & kéo",,"Hình  không méo, nét đều, hiển thị đúng",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_38,,Check Vẽ Circle (Outline / Filled / Solid Filled),,,"1. Chọn Circle
2. Click & kéo",,"Hình tròn không méo, nét đều, hiển thị đúng",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_39,,Check Vẽ Freehand Pen,,,"1. Chọn Freehand Pen
2. Vẽ tự do",,"Nét vẽ mượt, liên tục, không đứt nét",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_40,Thay đổi màu & độ dày nét,Check Thay đổi màu nét vẽ,,,"1. Vẽ 1 nét bất kỳ
2. Nhấn vào icon Setting, Chọn màu khác
3. Chọn lại icon Bút vẽ , chọn nét vẽ 
3. HS thực hiện Vẽ nét mới",,Mỗi nét hiển thị đúng màu đã chọn,Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_41,,Check Thay đổi độ dày nét,,,"1. Vẽ 1 nét bất kỳ
2. Nhấn vào icon Setting, Chọn độ dày nét
3. Chọn lại icon Bút vẽ , chọn nét vẽ 
3. HS thực hiện Vẽ nét mới",,Nét vẽ đúng độ dày đã chọn,Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_42,,Check Kết hợp đổi màu & độ dày,,,"1. Vẽ nét mảnh màu vàng
2. Đổi sang màu đỏ, nét dày → vẽ
3. Đổi màu khác → vẽ",,Có thể đồng thời thay đổi màu & độ dày chính xác,Passed,Passed,,,,,,,,,,02/02/2026,,,,,
