STT,Card,Tên,MT,Type,Priority,Status,Ngày tạo,Done,Reopen,Người tạo,Người sửa,Column 13,Note,,,,,,,,,,,,,,,
7,ESD-14,Canvas điểm không hiển thị cho học sinh có 0 điểm sau khi giáo viên kết thúc bài tập,Smart,Bug,Highest,Thực hiện lại,18/04/2025,,1,Linh,Quang,,,,,,,,,,,,,,,,,
8,ESD-16,Camera - Lỗi Bật Camera Không Hiển Thị Thông Báo,Smart,Bug,Highest,Ðã hoàn thành,18/04/2025,25/04/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
11,ESD-21,Participants - List,Smart,Bug,Highest,Ðã hoàn thành,18/04/2025,02/06/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
13,ESD-23,"Speaking - Phiên âm không hiển thị đầy đủ khi chọn ""Check pronunciation""",Smart,Bug,Highest,Ðã hoàn thành,18/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
14,ESD-25,Canvas thông báo điểm không tự biến mất sau thao tác từ giáo viên,Smart,Bug,Highest,Ðã hoàn thành,18/04/2025,,1,Linh,Quang,TỰ ĐỘNG BIẾN MÂT SSAU 5S,Reopen1: 22/04,,,,,,,,,,,,,,,
15,ESD-26,"Lỗi khi nhấn ""Check Pronunciation All"" hoặc ""Send Pronunciation All""",Smart,Bug,Highest,Ðã hoàn thành,18/04/2025,28/04/2025,,Linh,Quang,,tính năng check all bỏ,,,,,,,,,,,,,,,
19,ESD-37,Check grammar không theo thứ tự danh sách bài nộp,Smart,Bug,Highest,Ðã hoàn thành,23/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
20,ESD-41,"Các Divide groups không được cấp bảng trắng mới, phải dùng chung bảng trắng của giáo viên",Smart,Bug,Highest,Ðã hoàn thành,24/04/2025,08/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
21,ESD-42,Divide groups - Giáo viên không thấy được bảng trắng học sinh vẽ trước khi giáo viên tham gia,Smart,Bug,Highest,Ðã hoàn thành,25/04/2025,08/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
22,ESD-43,Divide groups - Học sinh vẫn ở nhóm cũ dù giáo viên đã chuyển nhóm,Smart,Bug,Highest,Ðã hoàn thành,25/04/2025,08/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
23,ESD-45,Học sinh vẫn có thể chọn lại đáp án sau khi đã submit câu hỏi Question,Smart,Bug,Highest,Ðã hoàn thành,25/04/2025,08/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
24,ESD-46,"Học sinh không chọn đáp án nhưng vẫn click Submit, hiện message nhưng nút Submit bị disable",Smart,Bug,Highest,Ðã hoàn thành,25/04/2025,28/04/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
25,ESD-47,Hệ thống đánh sai kết quả trong câu hỏi Fill in the Blank dù học sinh trả lời đúng,Smart,Bug,Highest,Ðã hoàn thành,25/04/2025,28/04/2025,1,Linh,Quang,,,,,,,,,,,,,,,,,
34,ESD-67,Ai là triệu phú - Results - Thêm cột Thứ tự (STT) và tự động sort danh sách theo Points từ cao xuống thấp,Smart,Task,Highest,Chưa thực hiện,25/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,/
40,ESD-82,Speaking - Học sinh không record được ở câu hỏi Speaking lần 2,Smart,Bug,Highest,Ðã hoàn thành,06/05/2025,14/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
46,ESD-96,"Speaking - Giáo viên click ""Gửi kết quả cho học sinh"" bị lỗi – console báo ""Message too large"" & lỗi hiển thị mã HTML thô ở phần phát âm",Smart,Bug,Highest,Ðã hoàn thành,07/05/2025,19/05/2025,1,Linh,Quang,,,,,,,,,,,,,,,,,
47,ESD-97,Check grammar - Bị lỗi Network response was not ok,Smart,Bug,Highest,Ðã hoàn thành,07/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
49,ESD-103,[SmartRoom]- Lỗi bất đồng bộ,Smart,Bug,Highest,Ðã hoàn thành,07/05/2025,14/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
57,ESD-124,"Speaking - Check pronunciation:  Kết quả kiểm tra phát âm bị dính chữ, không có khoảng cách giữa các từ ",Smart,Bug,Highest,Chưa thực hiện,19/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
